colocação,título_brasileiro,título_original,distribuidora,renda,publico,salas_abertura,estreia
52,Tomorrowland - Um lugar onde nada é impossível,Tomorrowland,Disney,8852650,683695,476,2015-04-06
53,Um senhor estagiário,The Intern,Warner,8807510,602036,289,2015-09-24
54,Victor Frankenstein,Victor Frankenstein,Fox,8517830,686690,412,2015-11-26
55,Tinkerbell e o monstro da Terra do Nunca,TinkerBell and the Legend of the Never Beast,Disney,8406990,611466,447,2015-02-26
56,O jogo da imitação,The Imitation Game,Diamond,7939790,553521,188,2015-05-02
57,Sobrenatural - A origem,Insidious: Chapter 3,Sony,7780070,626989,414,2015-07-30
58,A entidade 2,Sinister 2,Paris,7297730,572684,291,2015-03-09
59,O hobbit - A batalha dos cinco exércitos,The Hobbit - The Battle of the Five Armies,Warner,7248010,3678140,1043,2014-11-12
60,Evereste,Everest,Universal,7220040,426273,398,2015-09-24
61,Goosebumps - Monstros e arrepios,Goosebumps,Sony,7143490,517199,481,2015-10-22
62,O sétimo filho,The Seventh Son,Universal,7080200,504333,317,2015-12-03
63,Ponte dos espiões,Bridge of spies,Fox,7033380,424001,255,2015-10-22
64,Bem casados,Bem casados,Imagem,6966820,553537,445,2015-03-12
65,Que horas ela volta?,Que horas ela volta?,Pandora,6675440,478859,82,2015-08-27
66,Birdman ou a inesperada virtude da ignorância,Birdman,Fox,6490480,421973,82,2015-01-29
67,Férias frustradas,Vacation,Warner,6219450,504327,412,2015-10-09
68,Para sempre Alice,Still Alice,Diamond,6075830,408152,211,2015-12-03
69,Simplesmente acontece,"Love, Rosie",Imagem,5882600,493861,305,2015-05-03
70,Entre abelhas,Entre abelhas,Imagem,5822430,452082,344,2015-04-30
71,Corações de ferro,Fury,Sony,5792190,440373,233,2015-05-02
72,O agente da U.N.C.L.E,The Man from U.N.C.L.E,Warner,5596540,393533,445,2015-03-09
73,Renascida do inferno,The Lazarus Effect,Paris,5462770,445963,300,2015-05-03
74,A espiã que sabia de menos,Spy,Fox,5202520,416769,308,2015-04-06
75,Superpai,Superpai,Universal,5171580,440933,357,2015-02-26
76,Caminhos da floresta,Into the woods,Disney,5086020,389086,174,2015-01-29
77,O reino gelado 2,Snow Queen 2,California,5040240,404111,346,2015-12-11
78,Como sobreviver a um ataque zumbi,Scouts Guide to the Zombie Apocalypse,Paramount,4946320,398464,249,2015-12-11
79,Pegando fogo,Burnt,Paris,4945880,329658,262,2015-10-12
80,Chappie,Chappie,Sony,4505110,350606,284,2015-04-16
81,Operações especiais,Operações especiais,DTF/Paris,4431610,360809,313,2015-10-15
82,A mulher de preto 2 - Anjo da morte,The Woman in Black 2 - Angel of Death,Diamond,4353970,356637,316,2015-01-29
83,Dragon Ball Z - O renascimento de Freeza,Dragon Ball Z: Resurrection,Fox,4100040,338507,343,2015-06-18
84,Hitman - Agente 47,Hitman: Agent 47,Fox,4011410,314550,229,2015-08-27
85,Trocando os pés,The Cobbler,Imagem,3940620,323410,338,2015-05-28
86,A colina escarlate,Crimson Peak,Universal,3793620,267694,214,2015-10-15
87,Quarto de guerra,War room,Canzion,3773090,295761,55,2015-03-12
88,Você acredita?,Do You Believe?,California,3714010,314812,179,2015-03-09
89,Invencível,Unbroken,Universal,3696600,244644,123,2015-01-15
90,A casa dos mortos,Demonic,Paris,3694610,303198,176,2015-12-02
91,Aliança do crime,Black Mass,Warner,3543570,220193,188,2015-12-11
92,Noite sem fim,Run All Night,Warner,3542730,281319,318,2015-04-30
93,Homem Irracional,Irrational Man,Imagem,3439600,199951,72,2015-08-27
94,Exorcistas do Vaticano,The Vatican Tapes,Diamond,3199710,257140,191,2015-08-20
95,Olhos da justiça,The secret in their eyes,Diamond,2997070,215625,304,2015-10-12
96,Não olhe para trás,Danny Collins,Imagem,2885220,169421,127,2015-04-16
97,A incrível história de Adaline,The Age of Adaline,Diamond,2882040,189134,220,2015-05-21
98,Magic Mike XXL,Magic Mike XXL,Warner,2749840,204557,209,2015-07-30
99,A travessia,The Walk,Sony,2625950,141231,257,2015-08-10
100,Carga explosiva - O legado,The Transporter Refueled,California,2612200,205078,276,2015-10-09
101,"Forca, A",Gallows,Warner,2593110,201860,158,2015-07-23
102,"Visita, A",The visit,Universal,2555600,209948,222,2015-11-26
103,Relatos Selvagens,Relatos Salvajes,Warner,2262380,471732,89,2014-10-23
104,Samba,Samba,California,2119980,134278,66,2015-09-07
105,Ricki and the Flash - De volta pra casa,Ricki and the Flash,Sony,2112880,119847,146,2015-03-09
106,Jogada de mestre,Kidnapping Mr. Heineken,Imagem,2091860,109878,72,2015-07-30
107,Que mal eu fiz a Deus?,Qu'est-e qu'on a fait a bon dieu?,Europa,2019590,106713,111,2015-06-08
108,Divã a 2,Divã a 2,DTF/Paris,1986010,164987,315,2015-05-14
109,O sal da Terra,Le Sel de La Terre,Imovision,1949140,133748,39,2015-03-26
110,Jessabelle - O passado nunca morre,Jessabelle,Playarte,1811190,150625,207,2015-06-18
111,Whiplash - Em busca da perfeição,Whiplash,Sony,1766640,115635,22,2015-08-01
112,Ouija - O jogo dos espíritos,Ouija,H2O Films,1727820,514384,173,2014-11-12
113,O franco-atirador,The gunman,Paris,1706390,128882,280,2015-07-05
114,Entrando numa roubada,Entrando numa roubada,Europa,1704320,138110,246,2015-03-09
115,Uma longa jornada,The Longest Ride,Fox,1684220,119637,133,2015-04-30
116,A dama dourada,Woman in Gold,Diamond,1624250,94392,49,2015-08-13
117,Grace de Mônaco,Grace of Monaco,Playarte,1529460,88123,100,2015-10-29
118,Sob o mesmo céu,Aloha,Fox,1482620,92419,137,2015-11-06
119,A escolha perfeita 2,Pitch perfect 2,Universal,1460210,124201,214,2015-08-13
120,A entrevista,The Interview,Sony,1445970,117045,160,2015-01-29
121,A esperança é a última que morre,"Esperança é a última que morre, A",DTF/Paris,1434210,110831,131,2015-03-09
122,Livre,Wild,Fox,1426110,90021,58,2015-01-15
123,Chico - artista brasileiro,Chico - artista brasileiro,Sony,1395510,89589,52,2015-11-26
124,"Shaun, o carneiro",Shaun the sheep,Universal,1387530,113640,312,2015-03-09
125,Um santo vizinho,St. Vincent,Paris,1324110,96663,156,2015-02-19
126,A possessão do mal,The Possession Of Michael King,Playarte,1299320,98849,133,2015-01-10
127,O clã,El clan,Fox,1249170,77272,74,2015-10-12
128,Terra de Maria,Mary`s land,Dist. Própria,1191440,85143,5,2015-12-11
129,Risco Imediato,Good people,California,1164280,77819,117,2015-09-04
130,Enquanto somos jovens,While We're Young,Mares,1133300,70865,54,2015-06-18
131,O presente,The gift,Playarte,1118870,88910,246,2015-03-12
132,O exótico Hotel Marigold 2,The Best exotic Marigold Hotel 2,Fox,1105020,66592,58,2015-07-05
133,Grandes olhos,Big eyes,Paris,1064340,77261,69,2015-01-29
134,Boyhood - Da infância à juventude,Boyhood,Universal,1060500,160066,11,2014-10-30
135,Ida,Ida,Zeta Filmes,1055110,86990,6,2014-12-25
136,O vendedor de passados,"Vendedor de passados, O",Imagem/Consp,1054750,83607,213,2015-05-21
137,Os 33,Los 33,Fox,1049660,63145,96,2015-10-29
138,Expresso do amanhã,Snowpiercer,Playarte,1035360,77837,161,2015-08-27
139,A família Bélier,La Famille Bélier,Paris,1034980,89328,36,2014-12-25
140,"Super velozes, mega furiosos",Superfast,Diamond,1018680,86611,243,2015-07-05
141,O imperador,Outcast,Imagem,1017750,84120,104,2015-12-02
142,O abutre,Nightcrawler,Diamond,1015800,120633,57,2014-12-18
143,O garoto da casa ao lado,The boy next door,Universal,996596,78561,140,2015-03-26
144,Minúsculos - O filme 3D,Minuscule - La Vallée des Fourmis Perdues,Paris,972971,74685,169,2015-01-22
145,Annie,Annie,Sony,966105,84928,88,2015-12-02
1,Malévola,Maleficent,Disney,"74.227.800,00",5795385,719,2014-05-29
2,A culpa e das estrelas,The Fault in Our Stars,Fox,"70.124.600,00",6228678,791,2014-05-06
3,Noé,Noah,Paramount,"67.875.500,00",4853264,1039,2014-03-04
4,X-Men - Dias de um futuro esquecido,X-Men - Days of Future Past,Fox,"64.446.800,00",4921850,996,2014-05-22
5,Rio 2,Rio 2,Fox,"64.052.700,00",5226854,1271,2014-03-27
6,Capitão America - O soldado invernal,Captain America - The Winter Soldier,Disney,"63.087.900,00",4645909,1070,2014-10-04
7,Transformers: A era da extinção,Transformers: Age of Extinction,Paramount,"60.932.600,00",4530701,1053,2014-07-17
8,Jogos Vorazes: A esperança - Parte 1,The Hunger Games: Mockinjay - Part 1,Paris,"56.328.900,00",4808840,1339,2014-11-20
9,Planeta dos macacos: O confronto,Dawn of the Planet of the Apes,Fox,"55.379.500,00",4105584,871,2014-07-24
10,Como treinar o seu dragão 2,How to Train Your Dragon 2,Fox,"55.238.300,00",4632549,913,2014-06-19
11,O espetacular Homem-Aranha 2: A ameaça de Electro,The Amazing Spider-Man 2: The Rise of Electro,Sony,"54.686.600,00",4082409,1139,2014-01-05
12,Frozen - Uma aventura congelante,Frozen,Disney,"48.577.300,00",4030982,868,2014-03-01
13,O Hobbit - A batalha dos cinco exércitos,The Hobbit - The Battle of the Five Armies,Warner,"44.559.100,00",3138777,1037,2014-11-12
14,As tartarugas Ninja,Teenage Mutant Ninja Turtles,Paramount,"43.509.000,00",3358132,760,2014-08-14
15,Annabelle,Annabelle,Warner,"41.852.000,00",3722242,388,2014-09-10
16,300 - A ascensão do Imperio,300 - Rise of an Empire,Warner,"40.673.600,00",2850866,772,2014-07-03
17,Guardioes da galáxia,Guardians of the Galaxy,Disney,"38.126.000,00",2870004,917,2014-07-31
18,Até que a sorte nos separe 2,Até que a sorte nos separe 2,Downtown/Paris,"36.112.300,00",3202039,776,2013-12-27
19,Débi & Lóide 2,Dumb and Dumber 2,Imagem,"35.894.900,00",3110100,667,2014-11-13
20,RoboCop,RoboCop,Sony,"33.523.900,00",2834676,734,2014-02-21
21,Hércules,Hercules,Paramount,"32.881.500,00",2437695,675,2014-04-09
22,Drácula - A história nunca contada,Dracula Untold,Universal,"32.157.200,00",2725972,511,2014-10-23
23,O candidato honesto,O candidato honesto,Downtown/Paris,"25.068.000,00",2298531,554,2014-02-10
24,Os mercenários 3,The Expendables 3,California,"24.514.500,00",2116936,730,2014-08-21
25,Êxodo - Deuses e reis,Exodus - Gods and Kings,Fox,"23.741.100,00",1571317,901,2014-12-25
26,Juntos e misturados,Blended,Warner,"23.149.300,00",1983699,378,2014-07-17
27,Lucy,Lucy,Universal,"21.764.700,00",1789100,350,2014-08-28
