colocação,título_brasileiro,título_original,distribuidora,renda,publico,salas_abertura,estreia
90,A noite da virada,A noite da virada,Paris,"3.841.300,00",321380,304,2014-12-18
91,Transcendence - A revolução,Transcendence,Diamond Films,"3.829.260,00",298200,161,2014-06-19
92,O herdeiro do Diabo,Devil's Due,Fox,"3.803.210,00",313922,167,2014-01-24
93,As aventuras de Paddington,Paddington,Diamond Films,"3.748.140,00",354056,368,2014-04-12
94,Magia ao luar,Magic in the Moonlight,Imagem,"3.656.930,00",239727,72,2014-08-28
95,Album de familia,August: Osage County,Imagem,"3.656.600,00",267607,129,2013-12-27
96,Amante a domicílo,Fading Gigolo,Imagem,"3.649.440,00",229691,85,2014-01-05
97,Inatividade paranormal 2,A haunted house 2,Playarte,"3.569.580,00",298515,303,2014-04-24
98,Namoro ou liberdade?,That Awkward Moment,Imagem,"3.392.120,00",284514,198,2014-03-20
99,Ninfomaníaca - parte 1,Nymphomaniac,California,"3.213.240,00",250587,44,2014-10-01
100,Trash - A esperança vem do lixo,Trash,Universal,"3.069.040,00",270487,252,2014-09-10
101,Khumba,Khumba,Imagem,"2.960.080,00",239615,315,2014-03-07
102,Philomena,Philomena,Paris,"2.947.310,00",204733,94,2014-02-14
103,Na quebrada,Na quebrada,Downtown/Paris,"2.942.040,00",255252,220,2014-10-16
104,"Alexandre e o dia terrível, horrível, espantoso e horroroso","Alexander and The Terrible, Horrible, Not Good, Very Bad Day",Disney,"2.801.960,00",265458,231,2014-10-23
105,O que será de nozes?,The Nut Job,Playarte,"2.708.300,00",238790,234,2014-08-21
106,Deus não está morto,God's Not Dead,Graça Filmes,"2.609.100,00",274915,73,2014-08-21
107,Hoje eu quero voltar sozinho,Hoje eu quero voltar sozinho,Vitrine,"2.401.663,00",206464,45,2014-10-04
108,Irmã Dulce,Irmã Dulce,Paris,"2.362.560,00",205396,101,2014-11-13
109,Ela,Her,Sony,"2.331.900,00",166107,63,2014-02-14
110,Julio sumiu,Julio sumiu,Imagem,"2.235.570,00",181133,249,2014-04-17
111,O espelho,Oculus,Playarte,"1.922.580,00",152503,128,2014-03-07
112,Clube de compras Dallas,Dallas Buyers Club,Universal,"1.913.190,00",128190,39,2014-02-21
113,Chef,Chef,Imagem,"1.897.320,00",111911,72,2014-08-14
114,Boa sorte,Boa sorte,Imagem,"1.884.500,00",147392,177,2014-11-27
115,Mesmo se nada der certo,Begin Again,Imagem,"1.875.630,00",119649,110,2014-09-18
116,A grande beleza,La grande bellezza,Europa/ Mares Filmes,"1.835.710,00",146223,9,2013-12-20
117,Ender's Game - O jogo do exterminador,Ender s game,Paris,"1.691.470,00",156992,315,2013-12-20
118,Fúria,Tokarev,California,"1.660.850,00",145932,178,2014-10-16
119,Praia do Futuro,Praia do Futuro,California,"1.655.590,00",127606,70,2014-05-15
120,De repente pai,Delivery Man,Disney,"1.587.950,00",140174,128,2014-10-01
121,O melhor de mim,The Best of Me,Imagem,"1.467.220,00",119021,137,2014-10-30
122,Ajuste de contas,Grudge Match,Warner,"1.375.830,00",110839,114,2014-10-01
123,O físico,The Physician,Imagem,"1.322.930,00",96175,142,2014-09-10
124,Boyhood - Da infância à juventude,Boyhood,Universal,"1.322.580,00",85356,11,2014-10-30
125,O grande herói,Lone Survivor,Paris,"1.321.690,00",99916,161,2014-03-20
126,Sin City 2 - A dama fatal,Sin City 2,Imagem,"1.291.370,00",86137,342,2014-09-25
127,"Rio, eu te amo","Rio, eu te amo",Warner,"1.250.710,00",99886,239,2014-11-09
128,Ninfomaníaca - parte 2,Nymphomaniac,California,"1.241.470,00",95184,43,2014-03-13
129,O filho de Deus,Son of God,Diamond Films,"1.234.740,00",103588,247,2014-04-17
130,"Homens, mulheres e filhos","Men, women and children",Paramount,"1.202.160,00",78288,58,2014-04-12
131,13° Distrito,Brick Mansions,California,"1.173.910,00",96156,85,2014-06-19
132,Não pare na pista,Não pare na pista,Sony,"1.161.870,00",96022,288,2014-08-14
133,O que os homens falam,Una pistola en cada mano,Pandora,"1.101.300,00",80365,17,2014-05-22
134,O casamento de Gorete,O casamento de Gorete,Europa,"997.983,00",93274,100,2014-11-27
135,Amazonia,Amazonia,Imovision,"984.978,00",82255,175,2014-06-26
136,Causa e efeito,Causa e efeito,Downtown/Paris,"983.053,00",83341,126,2014-03-07
137,Justin Bieber's Believe,Justin Bieber's Believe,Diamond Films,"969.920,00",83602,146,2014-02-28
138,November Man - Um espião nunca morre,The November Man,Playarte,"955.283,00",76296,124,2014-06-11
139,A cem passos de um sonho,The Hundred-Foot Journey,Disney,"935.794,00",57365,41,2014-08-28
140,Entre nós,Entre nós,Downtown/Paris,"933.079,00",71327,90,2014-03-27
141,Isolados,Isolados,Paris,"932.516,00",84267,182,2014-09-18
142,Um amor de vizinha,And So It Goes,Playarte,"884.163,00",63834,66,2014-09-10
143,O abutre,Nightcrawler,Diamond Films,"865.548,00",53765,56,2014-12-18
144,Um plano brilhante,Love Punch,Playarte,"858.752,00",61636,71,2014-06-19
145,Walt nos bastidores de Mary Poppins,Saving Mr. Banks,Disney,"821.012,00",59314,176,2014-07-03
146,A última viagem a Vegas,Last Vegas,Paris,"808.788,00",58323,325,2013-06-12
147,Tudo por um furo,Anchorman 2,Paramount,"772.362,00",66211,96,2014-02-28
148,Era uma vez em Nova York,The Immigrant,Europa,"764.985,00",52303,37,2014-11-09
149,O inventor de jogos,The Games Maker 3D,Disney,"748.267,00",56121,125,2014-09-10
150,Sétimo,Séptimo,Fox,"746.443,00",51605,23,2014-11-27
1,Homem de Ferro 3,Iron Man 3,Disney,"96.745.500,00",7657490,1253,2013-04-26
2,Meu malvado favorito 2,Despicable Me 2,Universal,"80.292.800,00",6972126,832,2013-05-07
3,Thor 2 - O mundo sombrio,Thor - The Dark World,Disney,"63.629.700,00",5003423,1044,2013-01-11
4,Minha mãe é uma peça - O filme,Minha mae é uma peça - O filme,Downtown/Paris,"49.534.000,00",4604505,406,2013-06-21
5,Wolverine Imortal,The Wolverine,Fox,"49.099.000,00",3951954,805,2013-07-26
6,Velozes e furiosos 6,The Fast and the Furious 6,Universal,"48.965.800,00",4529358,854,2013-05-24
7,João e Maria - Caçadores de bruxas,Hansel & Gretel - Witch Hunters,Paramount,"48.414.800,00",3703754,702,2013-01-25
8,De pernas pro ar 2,De pernas pro ar 2,Downtown/Paris,"43.929.900,00",4230799,718,2012-12-28
9,Detona Ralph,Wreck-It Ralph,Disney,"40.342.600,00",3499461,743,2013-04-01
10,Jogos Vorazes - Em chamas,The Hunger Games - Catching Fire,Paris,"39.709.600,00",3534870,975,2013-11-15
11,Universidade Monstros,Monsters University,Disney,"37.138.100,00",3311150,832,2013-06-21
12,Homem de Aço,Man of Steel,Warner,"36.132.700,00",2747384,780,2013-12-07
13,"Se beber, nao case! - Parte 3",The Hangover - Part 3,Warner,"35.244.900,00",3222572,559,2013-05-30
14,Meu passado me condena,Meu passado me condena,Downtown/Paris,"34.942.300,00",3167246,373,2013-10-25
15,O hobbit - A desolação de Smaug,The Hobbit - The Desolation of Smaug,Warner,"33.774.600,00",2458468,1012,2013-12-13
16,Os Croods,The Croods,Fox,"33.680.500,00",2793478,739,2013-03-22
17,Os Smurfs 2,The Smurfs 2,Sony,"33.622.300,00",2945807,755,2013-02-08
18,Guerra Mundial Z,World War Z,Paramount,"33.174.000,00",2584510,759,2013-06-28
19,Vai que dá certo,Vai que dá certo,Imagem,"29.048.700,00",2751599,450,2013-03-22
20,Tá chovendo hambúrguer 2,Cloudy with a Chance of Meatballs 2,Sony,"28.572.100,00",2477408,658,2013-04-10
21,Percy Jackson e o mar dos monstros,Percy Jackson & the Olympians: The Sea of Monsters,Fox,"26.445.900,00",2146756,586,2013-08-16
22,"Oz, mágico e poderoso","Oz, The Great and Powerful",Disney,"26.413.700,00",2068639,732,2013-08-03
23,Elysium,Elysium,Sony,"20.116.800,00",1748007,396,2013-09-20
24,GI Joe 2 - Retaliação,G.I. Joe 2: Retaliation,Paramount,"18.854.800,00",1441557,487,2013-03-29
25,As aventuras de Pi,Life of Pi,Fox,"18.400.200,00",1410602,412,2012-12-21
26,Somos tão jovens,Somos tão jovens,Imagem/Fox,"18.283.134,00",1723923,550,2013-03-05
27,Crô,Crô,Donwtown/Paris,"17.976.800,00",1643544,460,2013-11-29
28,Gravidade,Gravity,Warner,"17.929.300,00",1109412,212,2013-11-10
29,Invocação do mal,The Conjuring,Warner,"17.434.200,00",1623335,391,2013-09-13
30,Duro de matar: Um bom dia para morrer,A Good Day to Die Hard,Fox,"17.327.300,00",1539559,550,2013-02-22
31,Gente grande 2,Grown-Ups 2,Sony,"17.074.700,00",1581341,243,2013-08-16
32,Reino escondido,Epic,Fox,"16.761.600,00",1381538,601,2013-05-17
33,O lado bom da vida,Silver Linings Playbook,Paris,"16.183.900,00",1343642,186,2013-01-02
34,Truque de mestre,Now You See Me,Paris,"16.027.000,00",1328610,318,2013-05-07
35,Faroeste caboclo,Faroeste caboclo,Europa,"16.025.298,00",1524867,464,2013-05-30
36,Círculo de fogo,Pacific Rim,Warner,"14.789.500,00",1159973,538,2013-09-08
37,Aviões,Planes,Disney,"14.295.700,00",1206518,628,2013-09-13
38,Django livre,Django Unchained,Sony,"14.152.100,00",1144740,194,2013-01-18
39,O concurso,"Concurso, O",Downtown/Paris,"14.143.900,00",1321727,355,2013-07-19
40,Depois da Terra,After Earth,Sony,"13.877.200,00",1298473,348,2013-07-06
41,Turbo,Turbo,Fox,"11.997.400,00",1050719,609,2013-07-19
42,"Jack, o caçador de gigantes",Jack the Giant Slayer,Warner,"11.825.300,00",942996,430,2013-03-29
43,Oblivion,Oblivion,Universal,"11.821.000,00",1051173,479,2013-12-04
44,Mato sem cachorro,Mato sem cachorro,Imagem,"11.596.400,00",1155828,377,2013-04-10
45,Além da escuridão - Star Trek,Star Trek Into Darkness,Paramount,"11.435.700,00",803386,554,2013-06-14
46,Bons de bico,Free Birds,Imagem,"10.644.300,00",945300,425,2013-08-11
47,Os estagiários,The Internship,Fox,"10.290.200,00",903202,214,2013-08-30
48,Inatividade paranormal,A Haunted House,Playarte,"9.920.240,00",922456,276,2013-01-02
49,Lincoln,Lincoln,Fox,"9.901.290,00",797233,151,2013-01-25
50,A viagem,Cloud Atlas,Imagem,"9.769.990,00",846210,282,2013-11-01
51,Os miseráveis,Les Misérables,Universal,"9.729.820,00",799346,142,2013-01-02
52,O cavaleiro solitário,The Lone Ranger,Disney,"9.391.660,00",879502,410,2013-12-07
53,Até que a sorte nos separe 2,Até que a sorte nos separe 2,Downtown/Paris,"9.205.970,00",782661,776,2013-12-27
54,Dezesseis luas,Beautiful Creatures,Paris,"8.833.940,00",859370,441,2013-01-03
55,"Hobbit: Uma jornada inesperada, O",The Hobbit: An Unexpected Journey,Warner,"8.346.270,00",670385,995,2012-12-14
56,O ataque,White House Down,Sony,"8.016.210,00",722687,355,2013-06-09
57,As bem-armadas,The Heat,Fox,"7.890.660,00",733605,302,2013-09-20
58,A última viagem a Vegas,Last Vegas,Paris,"7.728.950,00",640849,321,2013-06-12
59,O tempo e o vento,"Tempo e o vento, O",Downtown/Paris,"7.722.237,00",712213,43,2013-09-20
60,Capitão Phillips,Captain Phillips,Sony,"7.691.440,00",581299,204,2013-08-11
61,As aventuras de Tadeu,Las aventuras de Tadeo Jones,Paramount,"7.478.100,00",594025,368,2013-08-02
62,Mama,Mama,Universal,"7.454.240,00",679328,183,2013-05-04
63,Os instrumentos mortais - Cidade dos ossos,The Mortal Instruments - City of Bones,Paris,"6.912.360,00",650589,444,2013-08-23
64,Uma família em apuros,Parental Guidance,Fox,"6.865.290,00",709300,260,2013-11-01
65,O vôo,Flight,Paramount,"6.763.700,00",553510,169,2013-08-02
66,"Carrie, a estranha",Carrie,Sony,"6.282.620,00",571834,230,2013-06-12
67,Invasão à Casa Branca,Olympus Has Fallen,Paris,"6.207.260,00",522153,265,2013-05-04
68,Todo mundo em pânico 5,Scary Movie 5,Imagem,"5.855.890,00",562578,337,2013-06-28
69,Jack Reacher - O último tiro,Jack Reacher,Paramount,"5.608.560,00",478340,217,2013-11-01
70,Red 2 - Aposentados e ainda mais perigosos,Red 2,Paris,"5.547.890,00",479482,378,2013-02-08
71,A vida secreta de Walter Mitty,The Secret Life of Walter Mitty,Fox,"5.498.700,00",442980,433,2013-12-20
72,Familia do bagulho,Where the Millers,Warner,"5.397.650,00",512806,221,2013-09-27
73,Os suspeitos,Prisoners,Paris,"5.366.830,00",453921,218,2013-10-18
74,A hospedeira,The Host,Imagem,"5.166.310,00",486779,293,2013-03-29
75,Meu namorado é um zumbi,Warm Bodies,Paris,"5.067.810,00",499575,228,2013-08-02
76,Cine Holliúdy,Cine Holliúdy,Downtown/Paris,"5.020.860,00",483617,10,2013-09-08
77,Blue Jasmine,Blue Jasmine,Imagem,"4.919.980,00",340196,75,2013-11-15
78,O grande Gatsby,The Great Gatsby,Warner,"4.839.540,00",317382,162,2013-07-06
79,O último desafio,The Last Stand,Paris,"4.653.150,00",451633,347,2013-01-18
80,Vovô sem vergonha,Jackass Presents: Bad Grandpa,Paramount,"4.630.020,00",419233,139,2013-11-29
81,Rota de fuga,Escape plan,Paris,"4.611.300,00",458199,188,2013-11-10
82,Odeio o dia dos namorados,Odeio o dia dos namorados,Disney,"4.502.080,00",459061,312,2013-07-06
83,Se puder... dirija!,Se puder... dirija!,Disney,"4.468.885,00",361125,451,2013-08-30
84,Serra Pelada,Serra Pelada,Warner,"4.230.410,00",407914,330,2013-10-18
85,A morte do demônio,Evil Dead,Sony,"4.061.380,00",355039,100,2013-04-19
86,Sobrenatural: capítulo 2,Insidious: Chapter 2,Sony,"4.060.970,00",369225,220,2013-11-22
87,"Penetras, Os","Penetras, Os",Warner,"3.993.140,00",402226,316,2012-11-30
88,"Impossível, O",The Impossible,Paris,"3.917.010,00",353690,297,2012-12-21
89,Um time show de bola,Metegol,Universal,"3.865.760,00",340123,490,2013-11-29
90,Dragon Ball Z - A batalha dos deuses,Dragon Ball Z - Battle of God,Diamond,"3.745.760,00",400987,287,2013-11-10
91,A busca,"Busca, A",Downtown/Paris,"3.690.330,00",351454,148,2013-03-15
92,Ender s Game - O jogo do exterminador,Ender s game,Paris,"3.676.240,00",328688,322,2013-12-20
93,Riddick 3,Riddick 3,Imagem,"3.627.930,00",358889,189,2013-11-10
94,Flores raras,Flores raras,Imagem,"3.399.944,00",276102,94,2013-08-16
95,Jobs,Jobs,Playarte,"3.317.010,00",249863,196,2013-06-09
96,O conselheiro do crime,The Counselor,Fox,"3.171.050,00",248364,156,2013-10-25
97,Sammy - A grande fuga,Sammy 2: The Great Escape,Warner,"3.166.060,00",272928,233,2013-01-18
98,"Tainá, a origem","Tainá, a origem",Downtown/Sony,"3.156.328,00",353314,196,2013-08-02
99,O último exorcismo - Parte 2,The Last Exorcism Part II,Playarte,"3.081.810,00",295683,244,2013-10-05
100,R.I.P.D - Agentes do além,R.I.P.D,Universal,"2.869.600,00",216242,264,2013-09-27
101,Rush - No limite da emocao,Rush,California,"2.805.730,00",202234,210,2013-09-13
102,A hora mais escura,Zero Dark Thirty,Imagem,"2.688.230,00",205921,102,2013-02-15
103,Aposta máxima,Runner,Fox,"2.655.640,00",208414,130,2013-04-10
104,Amor,Amour,Imovision,"2.649.160,00",222638,47,2013-01-18
105,O resgate,Stolen,California,"2.296.870,00",212534,180,2013-01-25
106,A fuga do planeta Terra,Escape from Planet Earth,Diamond,"2.239.520,00",171718,158,2013-05-30
107,O casamento do ano,The Big Wedding,Imagem,"2.219.400,00",174629,136,2013-08-30
108,Anna Karenina,Anna Karenina,Universal,"2.170.100,00",156785,35,2013-03-15
109,Dose dupla,2 Guns,Imagem,"2.142.810,00",197499,220,2013-09-13
110,Caça aos gângsteres,Gangster Squad,Warner,"2.044.430,00",186657,170,2013-01-02
111,A família,The Family,Paris,"2.041.690,00",157739,134,2013-09-20
112,O reino gelado,The Snow Queen,Playarte,"2.038.720,00",142524,173,2013-02-22
113,O acordo,Snitch,Playarte,"1.976.210,00",190078,179,2013-04-19
114,Giovanni Improtta,Giovanni Improtta,Sony,"1.966.330,00",190069,203,2013-05-17
115,Finalmente 18!,21 and Over,Imagem,"1.905.180,00",186690,94,2013-05-17
116,O massacre da serra-elétrica 3D - A lenda continua,Texas Chainsaw 3D,Europa,"1.895.560,00",142981,181,2013-05-17
117,Como não perder essa mulher,Don Jon,Imagem,"1.842.240,00",154911,165,2013-06-12
118,One Direction: This is us,One Direction: This is us,Sony,"1.827.480,00",132657,205,2013-06-09
119,Uma ladra sem limites,Identity Thief,Universal,"1.816.640,00",167942,178,2013-10-05
120,Amanhecer - Parte 2,The Twilight Saga: Breaking Down - The Final,Paris,"1.810.230,00",202341,1213,2012-11-16
121,Linha de ação,Broken City,Imagem,"1.744.390,00",133793,129,2013-03-15
122,Terapia de risco,Side Effects,Diamond,"1.739.250,00",129469,100,2013-05-17
123,Colegas,Colegas,Europa,"1.720.251,00",163776,141,2013-01-03
124,Hannah Arendt,Hannah Arendt,Esfera/Europa,"1.688.170,00",129980,6,2013-05-07
125,Vendo ou alugo,Vendo ou alugo,Europa,"1.631.820,00",152106,178,2013-09-08
126,É o fim,This is the End,Sony,"1.601.119,00",158977,140,2013-11-10
127,Casa da mãe Joana 2,Casa da mãe Joana 2,Imagem,"1.600.170,00",154213,187,2013-06-09
128,Argo,Argo,Warner,"1.599.520,00",125319,100,2012-09-11
129,Os amantes passageiros,Los amantes pasajeros,Paris,"1.592.250,00",127352,74,2013-06-28
130,Monstros S.A 3D,Monsters Inc 3D,Disney,"1.571.850,00",104035,111,2013-08-02
131,Antes da meia noite,Before Midnight,Diamond,"1.495.620,00",109827,38,2013-06-14
132,Bling Ring - A gangue de Hollywood,The Bling Ring,Diamond,"1.482.070,00",110795,44,2013-08-16
133,Um porto seguro,Safe Haven,Imagem,"1.422.470,00",122687,146,2013-04-19
134,Questão de tempo,About Time,Universal,"1.285.941,00",101066,127,2013-12-20
135,Chamada de emergência,The Call,Diamond,"1.254.250,00",100359,140,2013-12-04
136,"Origem dos Guardiões, A",Rise of the Guardians,Paramount,"1.240.630,00",143614,645,2012-11-30
137,Minhocas,Minhocas,Fox,"1.214.440,00",116898,122,2013-12-20
138,Para maiores,Movie 43,Imagem,"1.196.270,00",111397,81,2013-08-02
139,"Negociaçao, A",Arbitrage,Imagem,"1.196.010,00",93446,58,2012-12-21
140,Indomável sonhadora,Beasts of the Southern Wild,Imagem,"1.160.940,00",95290,57,2013-02-22
141,O mordomo da Casa Branca,The Butler,Diamond,"1.106.250,00",69104,42,2013-01-11
142,Amor é tudo o que você precisa,Den skaldede frisør,H2O,"1.101.910,00",91257,91,2013-08-03
143,Silent Hill - Revelação 3D,Silent Hill - Revelation 3D,Playarte,"1.091.880,00",89171,49,2013-11-10
144,Parker,Parker,Paris,"1.089.380,00",96457,95,2013-03-22
145,A fuga,Deadfall,Playarte,"1.078.600,00",100114,142,2013-03-15
146,Álbum de família,August: Osage County,Imagem,"1.033.660,00",74145,129,2013-12-27
147,"Sem dor, sem ganho",Pain and Gain,Paramount,"1.006.500,00",87433,75,2013-08-23
148,Tese sobre um homicídio,Tesis sobre um homicídio,California,"996.804,00",76661,23,2013-07-26
149,O som ao redor,"Som ao redor, O",Vitrine,"983.548,00",95671,13,2013-04-01
150,O mestre,The Master,Paris,"982.874,00",74555,68,2013-01-25
1,OS VINGADORES,The Avengers,Disney,"129.817.328,00",10929041,1051,2012-04-27
2,AMANHECER - PARTE 2,The Twilight Saga: Breaking Down - The Final,Paris,"106.032.408,00",10114318,1215,2012-11-16
3,A ERA DO GELO 4,Ice Age: Continental Drift,Fox,"94.501.739,00",8717355,1027,2012-06-29
4,O ESPETACULAR HOMEM ARANHA,The Amazing Spider-Man,Sony,"60.219.160,00",5136100,988,2012-06-07
5,MADAGASCAR 3: OS PROCURADOS,Madagascar 3: Europe Most Wanted,Paramount,"58.645.093,00",5235346,736,2012-07-06
6,BATMAN - O CAVALEIRO DAS TREVAS RESSURGE,The Dark Knight Rises,Warner,"54.928.733,00",5133813,976,2012-07-27
7,ALVIN E OS ESQUILOS 3,Alvin and the Chipmunks: Chipwire,Fox,"41.998.360,00",4883059,561,2012-06-01
8,VALENTE,Brave,Disney,"37.101.159,00",3481101,704,2012-07-20
9,ATÉ QUE A SORTE NOS SEPARE,Até que a sorte nos separe,Downtown/Paris/RioFilme,"34.781.667,00",3432206,421,2012-05-10
10,OS MERCENÁRIOS 2,The Expendables 2,Imagem,"33.298.082,00",3177981,664,2012-08-31
11,HOMENS DE PRETO 3,Men in Black 3,Sony,"31.831.589,00",2713642,862,2012-05-25
12,HOTEL TRANSILVÂNIA,Hotel Transylvania,Sony,"30.998.210,00",2519919,462,2012-05-10
13,FÚRIA DE TITÃS 2,Warth of the Titans,Warner,"30.308.063,00",2474442,533,2012-03-30
14,007 - OPERAÇÃO SKYFALL,Skyfall,Sony,"29.613.416,00",2549290,616,2012-10-26
15,O HOBBIT: UMA JORNADA INESPERADA,The Hobbit: An Unexpected Journey,Warner,"27.698.889,00",2157624,981,2012-12-14
16,MOTOQUEIRO FANTASMA: ESPIRITO DE VINGANÇA,Ghost Rider: Spirit of Vengeance,Imagem,"27.643.131,00",2381031,496,2012-02-17
17,E AÍ... COMEU?,E aí... comeu?,Downtown/Paris/RioFilme,"26.230.577,00",2601233,514,2012-06-22
18,BRANCA DE NEVE E O CAÇADOR,Snow White and the Huntsman,Universal,"24.934.913,00",2521402,474,2012-01-06
19,SHERLOCK HOLMES: O JOGO DE SOMBRAS,Sherlock Holmes: A Game of Shadows,Warner,"24.722.380,00",2453251,440,2012-01-13
20,A ORIGEM DOS GUARDIÕES,Rise of the Guardians,Paramount,"23.554.513,00",2009732,589,2012-11-30
21,IMORTAIS,Immortals,Imagem,"23.315.807,00",1920042,505,2011-12-30
22,OS PENETRAS,OS Penetras,Warner,"21.492.755,00",2142187,325,2012-11-30
23,CADA UM TEM A GÊMEA QUE MERECE,Jack and Jill,Sony,"20.604.784,00",2131422,317,2012-10-02
24,RESIDENT EVIL 5 - A RETRIBUIÇÃO,Resident Evil: Retribution,Sony,"19.825.834,00",1569049,421,2012-09-14
25,JOGOS VORAZES,The Hunger Games,Paris,"19.384.656,00",1925979,638,2012-03-23
26,AS AVENTURAS DE TINTIM,The Adventures of Tintin: The Secret of the Unicorn,Sony,"19.248.445,00",1535892,476,2012-01-20
27,TED,Ted,Universal,"18.700.567,00",1785611,269,2012-09-21
28,"ESPELHO, ESPELHO MEU","Mirror, Mirror",Imagem,"18.554.914,00",1923502,428,2012-06-04
29,AMERICAN PIE: O REENCONTRO,American Reunion,Universal,"15.581.116,00",1540375,282,2012-04-20
30,"GONZAGA, DE PAI PARA FILHO","Gonzaga, de pai para filho",Downtown/Paris/RioFilme,"14.720.762,00",1466835,387,2012-10-26
31,PROMETHEUS,Prometheus,Fox,"14.669.772,00",1102448,514,2012-06-15
32,A INVENÇÃO DE HUGO CABRET,Hugo - 3D,Paramount,"14.465.940,00",1052898,296,2012-02-17
33,MISSÃO IMPOSSÍVEL 4 - PROTOCOLO FANTASMA,Mission Impossible - Ghost Protocol,Paramount,"13.805.532,00",1388330,622,2011-12-21
34,INTOCÁVEIS,Intouchables,California,"13.765.670,00",1059218,112,2012-08-31
35,JOHN CARTER,John Carter,Disney,"12.492.602,00",1034825,454,2012-09-03
36,ATIVIDADE PARANORMAL 4,Paranormal Activity 4,Paramount,"12.219.401,00",1195389,285,2012-10-19
37,ABRAHAM LINCOLN: CAÇADOR DE VAMPIROS,Abraham Lincoln: Vampire Hunter,Fox,"11.917.943,00",1001792,335,2012-07-09
38,O VINGADOR DO FUTURO,Total Recall,Sony,"11.647.393,00",1150454,492,2012-08-17
39,AS AVENTURAS DE PI *,Life of Pi,Fox,"11.008.966,00",817179,404,2012-12-21
40,VIAGEM 2: A ILHA MISTERIOSA,Journey 2: The Mysterious Island,Warner,"10.675.989,00",874635,341,2012-03-02
41,GATO DE BOTAS,Puss in Boots,Paramount,"10.572.324,00",1104707,742,2011-09-12
42,BUSCA IMPLACÁVEL 2,Taken 2,Fox,"10.210.717,00",936871,194,2012-05-10
43,GUERRA É GUERRA,This Means War,Fox,"10.086.347,00",1012921,321,2012-03-16
44,SOMBRAS DA NOITE,Dark Shadows,Warner,"9.904.884,00",940060,268,2012-06-22
45,TITANIC 3D,Titanic 3D,Fox,"9.713.721,00",675783,243,2012-04-13
46,LORAX: EM BUSCA DA TRÚFULA PERDIDA,Dr. Seuss The Lorax,Universal,"9.695.565,00",826711,531,2012-03-30
47,ANJOS DA NOITE-O DESPERTAR,Underworld Awakening,Sony,"9.691.735,00",741711,282,2012-02-03
48,"AS AVENTURAS DE AGAMENON, O REPÓRTER","AS Aventuras de Agamenon, o repórter",Downtown/Paris/RioFilme,"9.285.641,00",942979,242,2012-06-01
49,PARA ROMA COM AMOR,To Rome With Love,Paris,"8.271.878,00",649565,116,2012-06-29
50,A DAMA DE FERRO,The Iron Lady,Paris,"7.894.891,00",669030,126,2012-02-17
51,BATTLESHIP - A BATALHA DOS MARES,Battleship,Universal,"7.835.972,00",839987,503,2012-11-05
52,MILLENNIUM - OS HOMENS QUE NÃO AMAVAM AS MULHERES,The Girl with the Dragon Tattoo,Sony,"7.258.421,00",681835,251,2012-01-27
53,"DIVÃ PARA DOIS, UM",Hope Springs,Imagem,"7.219.106,00",591898,152,2012-08-17
54,"DESCENDENTES, OS",The Descendants,Fox,"6.825.410,00",593797,152,2012-01-27
55,"DITADOR, O",The Dictator,Paramount,"6.499.518,00",625119,244,2012-08-24
56,DE PERNAS PRO AR 2,De pernas pro ar 2,Downtown/Paris/RioFilme,"6.360.050,00",563543,710,2012-12-28
57,FILHA DO MAL,The Devil Inside,Paramount,"5.847.407,00",586306,275,2012-03-02
58,POSSESSÃO,The Possession,Paris,"5.786.333,00",550573,196,2012-02-11
59,TINKER BELL E O SEGREDO DAS FADAS,Tinker Bell,Disney,"5.671.223,00",445655,319,2012-09-21
60,PIRATAS PIRADOS!,The Pirates! Band of Misfits,Sony,"5.602.729,00",479147,278,2012-11-05
61,TOTALMENTE INOCENTES,Totalmente inocentes,Downtown/Paris/RioFilme,"5.417.380,00",543288,150,2012-07-09
62,O QUE ESPERAR QUANDO VOCÊ ESTÁ ESPERANDO,What To Expect When You?re Expecting,Universal,"4.872.780,00",452961,175,2012-03-08
63,O LEGADO BOURNE,The Bourne Legacy,Universal,"4.720.304,00",394627,242,2012-07-09
64,LOOPER - ASSASSINOS DO FUTURO,Looper,Paris,"4.602.943,00",441083,329,2012-09-28
65,A ENTIDADE,Sinister,Paris,"4.423.890,00",430103,179,2012-12-10
66,O IMPOSSÍVEL,The Impossible,Paris,"4.342.857,00",375892,295,2012-12-21
67,A MULHER DE PRETO,The Woman in Black,Paris,"4.333.322,00",423759,208,2012-02-24
68,PARANORMAN,ParaNorman,Universal,"4.325.396,00",313738,239,2012-07-09
69,O ARTISTA,The Artist,Paris,"4.062.445,00",347508,58,2012-10-02
70,PARAÍSOS ARTIFICIAIS,Paraísos artificiais,Nossa/ RioFilme,"3.978.776,00",402329,233,2012-04-05
71,XINGU,Xingu,Downtown/Sony/Riofilme,"3.977.055,00",392660,204,2012-06-04
72,E A VIDA CONTINUA...,E a vida continua...,Paris,"3.912.321,00",378681,138,2012-09-14
73,ARGO,Argo,Warner,"3.857.286,00",289036,107,2012-09-11
74,PEQUENOS ESPIÕES 4,Kids 4: All the Time in the World,Imagem,"3.780.335,00",322654,219,2012-03-16
75,FRANKENWEENIE,Frankenweenie,Disney,"3.689.056,00",259060,238,2012-02-11
76,PROTEGENDO O INIMIGO,eua,Universal,"3.403.520,00",314495,168,2012-03-16
