id,título_original,genero,subgenero
286,La Famille Bélier,Comedy,Drama
287,Superfast,Action,Comedy
288,Outcast,Action,Placeholder
289,Nightcrawler,Crime,Drama
290,The boy next door,Thriller,Placeholder
291,Minuscule - La Vallée des Fourmis Perdues,Animation,Adventure
292,Annie,Comedy,Drama
293,Maleficent,Fantasy,Adventure
294,The Fault in Our Stars,Romance,Drama
295,Noah,Drama,Adventure
296,X-Men - Days of Future Past,Action,Adventure
297,Rio 2,Adventure,Comedy
298,Captain America - The Winter Soldier,Action,Adventure
299,Transformers: Age of Extinction,Science Fiction,Action
300,The Hunger Games: Mockinjay - Part 1,Science Fiction,Adventure
301,Dawn of the Planet of the Apes,Science Fiction,Action
302,How to Train Your Dragon 2,Fantasy,Action
303,The Amazing Spider-Man 2: The Rise of Electro,Action,Adventure
304,Frozen,Animation,Adventure
305,The Hobbit - The Battle of the Five Armies,Action,Adventure
306,Teenage Mutant Ninja Turtles,Science Fiction,Action
307,Annabelle,Horror,Placeholder
308,300 - Rise of an Empire,Action,War
309,Guardians of the Galaxy,Action,Science Fiction
310,Até que a sorte nos separe 2,Comedy,Placeholder
311,Dumb and Dumber 2,Comedy,Placeholder
312,RoboCop,Action,Science Fiction
313,Hercules,Action,Adventure
314,Dracula Untold,Horror,Action
315,O candidato honesto,Comedy,Placeholder
316,The Expendables 3,Action,Adventure
317,Exodus - Gods and Kings,Adventure,Drama
318,Blended,Comedy,Placeholder
319,Lucy,Action,Science Fiction
320,Os homens sao de Marte... e é para lá que eu vou,Placeholder,Placeholder
321,S.O.S Mulheres ao mar,Romance,Comedy
322,Godzilla,Action,Drama
323,The Maze Runner,Action,Mystery
324,Interstellar,Adventure,Drama
325,The Book Thief,Drama,Placeholder
326,Muita calma nessa hora 2,Comedy,Placeholder
327,Mr. Peabody & Sherman,Animation,Adventure
328,Big Hero 6,Adventure,Family
329,Vestido pra casar,Placeholder,Placeholder
330,The Wolf of Wall Street,Crime,Drama
331,Divergent,Action,Adventure
332,"I, Frankenstein",Horror,Thriller
333,The Lego Movie,Adventure,Animation
334,The Book of Life,Romance,Animation
335,Paranormal Activity: The Marked Ones,Horror,Thriller
336,Tarzan,Adventure,Animation
337,Pompeii,Action,Adventure
338,Alemão,Action,Drama
339,Non-Stop,Action,Thriller
340,Tim Maia,Drama,Music
341,Edge of Tomorrow,Action,Science Fiction
342,Deliver Us From Evil,Thriller,Crime
343,American Hustle,Drama,Crime
344,The Equalizer,Thriller,Action
345,Confissoes de adolescente,Adventure,Comedy
346,The Legend of Hercules,Action,Adventure
347,Walking with Dinosaurs,Animation,Family
348,Os caras de pau em o misterioso roubo do anel,Comedy,Placeholder
349,Need for Speed,Action,Crime
350,The Hobbit - The Desolation of Smaug,Adventure,Fantasy
351,Copa de elite,Comedy,Placeholder
352,Planes: Fire & Rescue,Animation,Comedy
353,47 Ronin,Drama,Action
354,Gone Girl,Mystery,Thriller
355,12 Years a Slave,Drama,History
356,Horrible Bosses 2,Comedy,Placeholder
357,Left Behind,Thriller,Action
358,Legends of Oz: Dorothy s Return,Animation,Music
359,The Giver,Drama,Science Fiction
360,The Monuments Men,War,Drama
361,If I Stay,Drama,Placeholder
362,Getúlio,Drama,Placeholder
363,The Other Woman,Comedy,Romance
364,The Judge,Drama,Placeholder
365,Neighbors,Comedy,Placeholder
366,Saint Seya : Legend of Sanctuary,Placeholder,Placeholder
367,Tinkerbell - The Pirate Fairy,Animation,Family
368,Into the Storm,Action,Thriller
369,The Beauty and the Beast,Family,Fantasy
370,The Grand Budapest Hotel,Comedy,Drama
371,22 Jump Street,Crime,Comedy
372,Ouija,Horror,Placeholder
373,Relatos Salvajes,Drama,Thriller
374,The Secret Life of Walter Mitty,Adventure,Comedy
375,Sex Tape,Comedy,Placeholder
376,A Walk Among the Tombstones,Crime,Drama
377,Jack Ryan,Action,Drama
378,Made in China,Comedy,Drama
379,The House of Magic,Family,Fantasy
380,John Wick,Action,Thriller
381,The Boxtrolls,Animation,Comedy
382,A noite da virada,Placeholder,Placeholder
383,Transcendence,Thriller,Science Fiction
384,Devil's Due,Horror,Placeholder
385,Paddington,Comedy,Adventure
386,Magic in the Moonlight,Comedy,Drama
387,August: Osage County,Comedy,Drama
388,Fading Gigolo,Comedy,Placeholder
389,A haunted house 2,Comedy,Horror
390,That Awkward Moment,Comedy,Romance
391,Nymphomaniac,Drama,Mystery
392,Trash,Adventure,Crime
393,Khumba,Animation,Adventure
394,Philomena,Drama,Placeholder
395,Na quebrada,Drama,Placeholder
396,"Alexander and The Terrible, Horrible, Not Good, Very Bad Day",Placeholder,Placeholder
397,The Nut Job,Animation,Comedy
398,God's Not Dead,Drama,Placeholder
399,Hoje eu quero voltar sozinho,Drama,Romance
400,Irmã Dulce,Drama,Placeholder
401,Her,Romance,Science Fiction
402,Julio sumiu,Drama,Comedy
403,Oculus,Horror,Placeholder
404,Dallas Buyers Club,Drama,History
405,Chef,Comedy,Placeholder
406,Boa sorte,Drama,Placeholder
407,Begin Again,Comedy,Music
408,La grande bellezza,Drama,Placeholder
409,Ender s game,Science Fiction,Action
410,Tokarev,Action,Crime
411,Praia do Futuro,Drama,Placeholder
412,Delivery Man,Comedy,Placeholder
413,The Best of Me,Drama,Romance
414,Grudge Match,Comedy,Placeholder
415,The Physician,Adventure,Drama
416,Boyhood,Drama,Placeholder
417,Lone Survivor,Action,Drama
418,Sin City 2,Crime,Thriller
419,"Rio, eu te amo",Drama,Romance
420,Nymphomaniac,Drama,Mystery
421,Son of God,Drama,Placeholder
422,"Men, women and children",Drama,Comedy
423,Brick Mansions,Action,Crime
424,Não pare na pista,Drama,History
425,Una pistola en cada mano,Comedy,Romance
426,O casamento de Gorete,Comedy,Placeholder
427,Amazonia,Family,Adventure
428,Causa e efeito,Placeholder,Placeholder
429,Justin Bieber's Believe,Placeholder,Placeholder
430,The November Man,Crime,Action
431,The Hundred-Foot Journey,Drama,Placeholder
432,Entre nós,Drama,Placeholder
433,Isolados,Thriller,Placeholder
434,And So It Goes,Comedy,Drama
435,Nightcrawler,Crime,Drama
436,Love Punch,Comedy,Drama
437,Saving Mr. Banks,Comedy,Drama
438,Last Vegas,Comedy,Placeholder
439,Anchorman 2,Comedy,Placeholder
440,The Immigrant,Drama,Romance
441,The Games Maker 3D,Placeholder,Placeholder
442,Séptimo,Thriller,Placeholder
443,Iron Man 3,Action,Adventure
444,Despicable Me 2,Animation,Comedy
445,Thor - The Dark World,Action,Adventure
446,Minha mae é uma peça - O filme,Comedy,Placeholder
447,The Wolverine,Action,Drama
448,The Fast and the Furious 6,Action,Thriller
449,Hansel & Gretel - Witch Hunters,Fantasy,Horror
450,De pernas pro ar 2,Comedy,Romance
451,Wreck-It Ralph,Family,Animation
452,The Hunger Games - Catching Fire,Adventure,Action
453,Monsters University,Animation,Family
454,Man of Steel,Action,Adventure
455,The Hangover - Part 3,Comedy,Placeholder
456,Meu passado me condena,Comedy,Placeholder
457,The Hobbit - The Desolation of Smaug,Adventure,Fantasy
458,The Croods,Action,Adventure
459,The Smurfs 2,Fantasy,Family
460,World War Z,Action,Drama
461,Vai que dá certo,Comedy,Placeholder
462,Cloudy with a Chance of Meatballs 2,Animation,Family
463,Percy Jackson & the Olympians: The Sea of Monsters,Adventure,Family
464,"Oz, The Great and Powerful",Fantasy,Adventure
465,Elysium,Science Fiction,Action
466,G.I. Joe 2: Retaliation,Adventure,Action
467,Life of Pi,Adventure,Drama
468,Somos tão jovens,Drama,Music
469,Crô,Comedy,Placeholder
470,Gravity,Science Fiction,Thriller
471,The Conjuring,Horror,Thriller
472,A Good Day to Die Hard,Action,Thriller
473,Grown-Ups 2,Comedy,Placeholder
474,Epic,Animation,Adventure
475,Silver Linings Playbook,Drama,Comedy
476,Now You See Me,Thriller,Crime
477,Faroeste caboclo,Crime,Drama
478,Pacific Rim,Action,Science Fiction
479,Planes,Animation,Family
480,Django Unchained,Drama,Western
481,"Concurso, O",Comedy,Placeholder
482,After Earth,Science Fiction,Action
483,Turbo,Animation,Family
484,Jack the Giant Slayer,Action,Adventure
485,Oblivion,Action,Science Fiction
486,Mato sem cachorro,Comedy,Placeholder
487,Star Trek Into Darkness,Action,Adventure
488,Free Birds,Animation,Comedy
489,The Internship,Comedy,Placeholder
490,A Haunted House,Comedy,Horror
491,Lincoln,History,Drama
492,Cloud Atlas,Drama,Science Fiction
493,Les Misérables,History,Drama
494,The Lone Ranger,Action,Adventure
495,Até que a sorte nos separe 2,Comedy,Placeholder
496,Beautiful Creatures,Fantasy,Drama
497,The Hobbit: An Unexpected Journey,Adventure,Fantasy
498,White House Down,Action,Drama
499,The Heat,Action,Comedy
500,Last Vegas,Comedy,Placeholder
501,"Tempo e o vento, O",Drama,Placeholder
502,Captain Phillips,Action,Drama
503,Las aventuras de Tadeo Jones,Animation,Comedy
504,Mama,Horror,Placeholder
505,The Mortal Instruments - City of Bones,Action,Adventure
506,Parental Guidance,Comedy,Placeholder
507,Flight,Drama,Placeholder
508,Carrie,Horror,Thriller
509,Olympus Has Fallen,Action,Thriller
510,Scary Movie 5,Comedy,Placeholder
511,Jack Reacher,Crime,Drama
512,Red 2,Action,Comedy
513,The Secret Life of Walter Mitty,Adventure,Comedy
514,Where the Millers,Placeholder,Placeholder
515,Prisoners,Drama,Thriller
516,The Host,Action,Adventure
517,Warm Bodies,Horror,Comedy
518,Cine Holliúdy,Comedy,Placeholder
519,Blue Jasmine,Comedy,Drama
520,The Great Gatsby,Drama,Romance
521,The Last Stand,Action,Crime
522,Jackass Presents: Bad Grandpa,Comedy,Placeholder
523,Escape plan,Action,Thriller
524,Odeio o dia dos namorados,Comedy,Placeholder
525,Se puder... dirija!,Comedy,Placeholder
526,Serra Pelada,Drama,Western
527,Evil Dead,Horror,Placeholder
528,Insidious: Chapter 2,Horror,Thriller
529,"Penetras, Os",Comedy,Placeholder
530,The Impossible,Thriller,Drama
531,Metegol,Animation,Adventure
532,Dragon Ball Z - Battle of God,Animation,Action
533,"Busca, A",Drama,Placeholder
534,Ender s game,Science Fiction,Action
535,Riddick 3,Science Fiction,Action
536,Flores raras,Drama,Romance
537,Jobs,Drama,History
538,The Counselor,Thriller,Crime
539,Sammy 2: The Great Escape,Placeholder,Placeholder
540,"Tainá, a origem",Adventure,Placeholder
541,The Last Exorcism Part II,Horror,Thriller
542,R.I.P.D,Fantasy,Action
543,Rush,Drama,Action
544,Zero Dark Thirty,Thriller,Drama
545,Runner,Crime,Thriller
546,Amour,Drama,Romance
547,Stolen,Action,Crime
548,Escape from Planet Earth,Animation,Comedy
549,The Big Wedding,Comedy,Placeholder
550,Anna Karenina,Drama,Romance
551,2 Guns,Action,Comedy
552,Gangster Squad,Crime,Drama
553,The Family,Crime,Comedy
554,The Snow Queen,Animation,Fantasy
555,Snitch,Thriller,Drama
556,Giovanni Improtta,Placeholder,Placeholder
557,21 and Over,Comedy,Placeholder
558,Texas Chainsaw 3D,Horror,Thriller
559,Don Jon,Romance,Comedy
560,One Direction: This is us,Documentary,Music
561,Identity Thief,Comedy,Crime
562,The Twilight Saga: Breaking Down - The Final,Placeholder,Placeholder
563,Broken City,Thriller,Crime
564,Side Effects,Thriller,Crime
565,Colegas,Drama,Placeholder
566,Hannah Arendt,Drama,Placeholder
567,Vendo ou alugo,Comedy,Placeholder
568,This is the End,Action,Comedy
569,Casa da mãe Joana 2,Comedy,Placeholder
570,Argo,Drama,Thriller
571,Los amantes pasajeros,Comedy,Placeholder
572,Monsters Inc 3D,Animation,Family
573,Before Midnight,Romance,Drama
574,The Bling Ring,Drama,Crime
575,Safe Haven,Romance,Placeholder
576,About Time,Comedy,Drama
577,The Call,Crime,Thriller
578,Rise of the Guardians,Animation,Family
579,Minhocas,Animation,Family
580,Movie 43,Comedy,Placeholder
581,Arbitrage,Drama,Thriller
582,Beasts of the Southern Wild,Drama,Fantasy
583,The Butler,Drama,Placeholder
584,Den skaldede frisør,Comedy,Romance
585,Silent Hill - Revelation 3D,Thriller,Horror
586,Parker,Action,Crime
587,Deadfall,Crime,Drama
588,August: Osage County,Comedy,Drama
589,Pain and Gain,Thriller,Crime
590,Tesis sobre um homicídio,Mystery,Thriller
591,"Som ao redor, O",Thriller,Drama
592,The Master,Drama,Placeholder
593,The Avengers,Science Fiction,Action
594,The Twilight Saga: Breaking Down - The Final,Placeholder,Placeholder
595,Ice Age: Continental Drift,Animation,Comedy
596,The Amazing Spider-Man,Action,Adventure
597,Madagascar 3: Europe Most Wanted,Animation,Family
598,The Dark Knight Rises,Action,Crime
599,Alvin and the Chipmunks: Chipwire,Placeholder,Placeholder
600,Brave,Animation,Adventure
601,Até que a sorte nos separe,Comedy,Placeholder
602,The Expendables 2,Action,Adventure
603,Men in Black 3,Action,Comedy
604,Hotel Transylvania,Animation,Comedy
605,Warth of the Titans,Placeholder,Placeholder
606,Skyfall,Action,Adventure
607,The Hobbit: An Unexpected Journey,Adventure,Fantasy
608,Ghost Rider: Spirit of Vengeance,Action,Fantasy
609,E aí... comeu?,Comedy,Placeholder
610,Snow White and the Huntsman,Adventure,Fantasy
611,Sherlock Holmes: A Game of Shadows,Adventure,Action
612,Rise of the Guardians,Animation,Family
613,Immortals,Fantasy,Action
614,OS Penetras,Comedy,Placeholder
615,Jack and Jill,Comedy,Placeholder
616,Resident Evil: Retribution,Action,Horror
617,The Hunger Games,Science Fiction,Adventure
618,The Adventures of Tintin: The Secret of the Unicorn,Adventure,Animation
619,Ted,Comedy,Fantasy
620,"Mirror, Mirror",Adventure,Comedy
621,American Reunion,Comedy,Placeholder
622,"Gonzaga, de pai para filho",Placeholder,Placeholder
623,Prometheus,Science Fiction,Adventure
624,Hugo - 3D,Adventure,Drama
625,Mission Impossible - Ghost Protocol,Action,Thriller
626,Intouchables,Drama,Comedy
