,título_original,genero,subgenero,colocação,título_brasileiro,distribuidora,renda,publico,salas_abertura,estreia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
311,Son of God,Drama,Placeholder,129,O filho de Deus,Diamond Films,1234740,103588,247,2014-04-17,98,61,66,66,58,49,52,67,94,55,39,34,44,65,71,92,38,68,43,38,71,77,100,44,33,54,39,47,35,78,46,36,47,55,41,53,44,33,43,47,25,34,56,40,39,36,44,49,44,73,54,33,49,16,47,72,39,75,36,32,46,43,29,58,64,39,32,34,42,41,39,38,53,44,52,41,41,68,38,34,28,41,38,36,41,54,28,41,49,26,46,35,44,39,25,31,42,45,57,89,34,23,37,46,31,69,39,28,32,35,38,51,48,68,33,37,20,30,47,49,46,26,40,40,33,30,25,54,36,35,32,20,21,66,68,53,32,58,43,53,71,80,50,45,47,27,44,70,42,44,64,45,51,32,45,38,37,36,41,20,63,58,65,31,43,23,36,27,46,47,35,43,33,36,19,48,53,45,25,40,26,0,5,18,55,52,21,16,9,1,4
312,"Men, women and children",Drama,Comedy,130,"Homens, mulheres e filhos",Paramount,1202160,78288,58,2014-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,100,178,0,0,0,0,1,1,0,0,1
313,Brick Mansions,Action,Crime,131,13° Distrito,California,1173910,96156,85,2014-06-19,9,11,11,0,8,0,8,9,16,0,8,0,8,16,0,0,22,0,0,0,8,0,11,23,0,8,8,0,0,11,11,0,8,8,9,12,12,13,11,8,0,0,9,11,11,0,0,0,16,9,11,0,0,16,8,0,9,11,12,8,12,0,8,0,11,0,8,0,8,0,9,0,17,9,17,9,9,0,0,0,26,9,9,0,9,0,18,9,9,9,0,9,18,24,13,20,18,60,34,80,64,56,63,100,52,55,39,69,31,40,45,45,53,36,88,39,29,33,44,23,65,51,49,17,56,22,41,36,57,31,34,21,17,23,40,24,30,8,21,26,9,47,25,26,30,26,0,14,12,19,13,8,16,9,23,34,59,30,25,17,26,18,35,12,30,21,17,42,14,35,47,21,8,25,17,9,12,55,21,17,17,73,43,26,14,8,10,4,1,1,1
314,Una pistola en cada mano,Comedy,Romance,133,O que os homens falam,Pandora,1101300,80365,17,2014-05-22,0,47,0,0,35,35,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,46,0,0,67,0,0,0,0,0,34,34,0,0,37,0,47,0,0,33,0,0,47,0,34,34,0,36,0,0,0,0,0,0,0,0,0,0,32,0,100,34,0,0,44,33,0,0,0,0,48,0,68,0,33,0,0,0,0,34,0,35,0,0,0,53,0,0,0,60,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,50,33,0,0,34,0,0,0,0,0,0,0,35,0,49,33,0,33,0,0,0,0,0,0,34,0,0,0,48,0,0,33,34,0,44,0,0,33,0,33,0,0,0,32,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,34,0,44,0,0,62,0,133,0,0,30,12,2,3,0,0,1
315,O casamento de Gorete,Comedy,Placeholder,134,O casamento de Gorete,Europa,997983,93274,100,2014-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,78,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,5,0,3
316,Amazonia,Family,Adventure,135,Amazonia,Imovision,984978,82255,175,2014-06-26,66,57,56,52,43,59,55,71,69,71,48,37,55,63,60,62,59,54,52,51,65,62,65,65,56,38,59,57,55,68,61,70,100,68,77,54,61,55,58,54,67,70,65,61,55,54,47,48,52,53,56,54,42,44,50,41,33,48,45,43,52,46,48,63,54,43,56,43,38,55,51,48,53,43,40,29,48,47,51,50,54,44,50,53,59,63,60,63,42,45,52,49,53,55,53,36,53,67,65,62,67,61,38,50,65,72,60,65,50,45,53,81,69,88,74,76,54,54,60,56,77,68,57,49,59,77,78,92,74,53,54,52,68,72,58,62,58,43,50,63,50,56,46,52,37,29,51,60,68,60,44,62,57,73,58,50,54,51,49,50,65,70,70,58,48,50,51,53,65,67,63,55,49,47,71,76,80,76,54,43,55,0,0,2,8,42,69,40,16,2,2
317,Causa e efeito,Placeholder,Placeholder,136,Causa e efeito,Downtown/Paris,983053,83341,126,2014-03-07,39,33,40,50,45,35,30,61,47,51,67,46,35,25,62,23,62,34,56,22,35,38,40,17,34,40,52,44,67,34,23,49,28,39,18,47,32,51,51,34,57,24,15,16,28,50,45,57,37,16,39,61,100,67,28,42,16,56,34,62,69,55,40,16,40,39,34,47,39,35,36,60,65,49,45,45,49,22,30,60,28,29,58,49,16,50,28,55,33,17,55,0,17,40,29,23,24,32,0,36,34,25,0,13,34,16,0,14,18,21,26,25,15,0,11,11,28,23,18,31,50,50,33,11,0,47,15,25,17,11,22,11,12,15,32,11,22,22,17,18,0,24,16,22,17,38,34,15,32,33,38,61,28,70,15,15,50,32,33,55,35,29,45,16,11,27,56,24,16,54,31,46,12,43,11,27,22,22,27,53,27,7,38,38,43,24,18,12,0,0,1
318,Entre nós,Drama,Placeholder,140,Entre nós,Downtown/Paris,933079,71327,90,2014-03-27,26,26,14,19,9,13,19,15,23,28,28,9,26,17,17,13,9,29,14,16,14,11,24,23,12,14,20,12,25,26,22,17,41,11,25,26,35,24,38,26,39,51,73,48,49,32,34,30,21,43,41,24,14,28,34,32,28,41,25,20,23,21,41,35,38,55,20,21,21,25,43,22,24,20,14,27,18,25,20,21,27,17,9,19,24,23,15,26,22,17,29,21,30,25,17,19,18,29,17,28,13,13,20,15,14,25,22,17,20,12,17,18,13,20,17,9,9,16,19,25,20,21,15,25,28,30,52,32,12,33,23,20,22,30,25,27,20,19,19,29,18,46,100,62,35,27,29,35,29,27,33,12,13,18,27,27,32,34,22,25,17,18,24,33,12,18,24,21,25,39,9,17,24,16,17,27,19,20,20,25,16,7,70,71,18,9,3,1,1,0,1
319,Isolados,Thriller,Placeholder,141,Isolados,Paris,932516,84267,182,2014-09-18,39,40,36,58,15,45,29,20,40,37,60,46,62,0,21,22,15,22,22,23,32,32,34,31,38,23,16,0,0,0,0,22,0,18,18,22,0,0,0,0,17,50,20,22,60,30,23,15,47,52,22,15,15,30,23,16,42,22,30,22,30,0,31,21,22,15,22,51,15,39,20,42,59,30,45,17,36,21,0,15,51,22,22,31,39,20,0,14,15,15,32,19,20,14,36,44,15,16,43,24,21,41,16,29,30,0,29,14,28,28,21,15,38,39,35,35,49,21,37,18,19,42,56,35,42,66,56,75,84,28,14,14,22,47,20,36,28,35,100,90,37,19,21,28,22,0,20,41,22,18,21,35,28,44,37,29,14,28,59,0,32,48,20,28,70,21,57,30,58,61,29,42,28,42,15,19,0,14,49,15,29,17,43,52,29,20,12,4,1,2,1
320,And So It Goes,Comedy,Drama,142,Um amor de vizinha,Playarte,884163,63834,66,2014-09-10,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,25,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,21,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,22,57,29,0,0,0,0,0,28,29,0,0,0,20,0,0,0,0,20,0,0,0,27,0,0,0,20,0,87,55,0,0,31,20,82,87,72,61,61,51,60,52,54,42,100,81,40,0,41,44,81,0,50,20,41,20,22,0,0,20,20,20,41,0,71,100,20,20,20,20,0,0,58,20,22,0,22,0,55,55,20,0,20,20,118,17,18,2,6,9,2,2,5,2
321,Love Punch,Comedy,Drama,144,Um plano brilhante,Playarte,858752,61636,71,2014-06-19,0,0,19,0,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,0,20,14,0,0,14,0,0,0,0,0,28,14,0,0,0,0,0,14,0,0,0,0,20,0,0,0,14,0,0,14,0,0,0,0,0,19,14,0,0,0,0,0,0,14,40,0,13,0,0,0,0,0,0,0,15,0,0,0,13,0,0,0,0,0,0,0,21,15,0,0,43,17,0,0,13,14,0,18,0,0,0,0,0,0,19,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,14,0,20,20,0,0,0,0,0,20,20,21,0,58,0,0,29,0,29,17,23,100,89,92,86,67,23,58,29,130,33,9,1,1,2,1,0,2,2
322,Saving Mr. Banks,Comedy,Drama,145,Walt nos bastidores de Mary Poppins,Disney,821012,59314,176,2014-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,0,0,15,0,20,0,0,0,21,15,0,0,0,15,0,0,0,0,0,0,0,0,0,17,0,21,0,18,0,28,0,16,0,63,15,14,0,15,15,0,0,14,28,0,29,15,20,0,29,28,14,0,0,0,21,14,28,14,14,30,0,30,14,0,0,0,0,0,0,14,14,28,14,30,19,0,0,14,14,0,0,19,19,14,0,0,14,0,31,23,49,49,37,41,100,129,31,14,2,3,0,1,0,0,1
323,Last Vegas,Comedy,Placeholder,146,A última viagem a Vegas,Paris,808788,58323,325,2013-06-12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,19,0,0,0,13,0,0,0,0,0,0,0,0,29,0,0,0,14,13,14,17,0,13,0,13,14,13,54,35,26,34,14,49,59,76,59,34,59,73,34,29,57,100,47,40,42,36,31,30,42,33,0,0,16,32,20,40,43,21,65,16,15,45,58,68,20,14,27,28,83,80,33,39,33,61,28,74,20,27,13,13,0,14,37,19,0,13,13,13,0,37,38,13,40,27,0,24,46,38,27,13,13,0,28,26,54,26,26,13,13,14,26,36,13,26,13,26,22,83,36,20,19,7,7,3,4,1,1
324,Last Vegas,Comedy,Placeholder,146,A última viagem a Vegas,Paris,808788,58323,325,2013-06-12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,19,0,0,0,13,0,0,0,0,0,0,0,0,29,0,0,0,14,13,14,17,0,13,0,13,14,13,54,35,26,34,14,49,59,76,59,34,59,73,34,29,57,100,47,40,42,36,31,30,42,33,0,0,16,32,20,40,43,21,65,16,15,45,58,68,20,14,27,28,83,80,33,39,33,61,28,74,20,27,13,13,0,14,37,19,0,13,13,13,0,37,38,13,40,27,0,24,46,38,27,13,13,0,28,26,54,26,26,13,13,14,26,36,13,26,13,26,22,83,36,20,19,7,7,3,4,1,1
325,Anchorman 2,Comedy,Placeholder,147,Tudo por um furo,Paramount,772362,66211,96,2014-02-28,0,11,0,0,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,8,22,12,0,8,8,8,9,0,12,0,0,8,0,0,0,0,16,8,8,16,8,11,17,8,8,8,9,19,11,11,8,8,0,0,0,21,11,8,16,8,19,8,17,32,19,28,27,26,38,73,100,99,62,65,65,40,49,56,24,33,30,10,28,30,28,11,38,18,15,20,16,31,8,11,8,11,16,15,24,11,11,7,15,16,20,10,11,20,15,13,20,40,35,20,11,18,11,29,34,36,25,11,15,15,12,20,31,27,10,8,42,13,21,45,11,10,15,8,16,21,11,10,15,8,8,32,10,30,7,15,13,8,25,16,38,16,39,16,24,14,18,22,8,8,11,0,11,44,23,11,0,8,75,60,21,14,4,1,3,1,0,2
326,The Immigrant,Drama,Romance,148,Era uma vez em Nova York,Europa,764985,52303,37,2014-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,100,0,34,0,0,175,0,0,4,0,1,0,0,0,1
327,The Games Maker 3D,Placeholder,Placeholder,149,O inventor de jogos,Disney,748267,56121,125,2014-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,54,53,64,69,0,48,48,0,100,65,0,0,0,47,0,0,0,71,0,47,0,0,0,0,0,0,0,0,47,49,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,161,0,0,0,11,2,3,3,0,1
328,Séptimo,Thriller,Placeholder,150,Sétimo,Fox,746443,51605,23,2014-11-27,81,48,15,50,25,36,19,43,68,53,36,35,29,30,52,45,15,22,29,22,34,43,50,36,35,38,28,57,59,40,51,32,54,47,34,57,44,33,29,41,64,28,39,35,62,50,72,40,46,30,47,37,61,40,50,34,43,58,63,32,41,60,35,40,31,64,19,65,50,53,52,84,38,34,49,58,24,26,22,30,34,27,23,58,83,59,27,13,48,19,34,32,46,22,28,46,34,41,46,44,15,23,40,52,38,32,100,50,30,34,38,28,63,39,35,23,15,27,60,32,56,35,37,38,37,36,56,37,46,75,42,34,76,42,55,49,41,72,34,50,31,39,23,30,40,38,37,56,68,38,48,63,45,32,41,64,52,55,41,56,36,61,42,71,30,22,34,61,84,64,38,22,48,34,44,31,53,37,44,52,37,0,8,29,57,38,25,14,5,4,1
329,Iron Man 3,Action,Adventure,1,Homem de Ferro 3,Disney,96745500,7657490,1253,2013-04-26,12,25,23,16,11,10,12,12,23,28,12,10,14,13,15,19,31,19,50,30,19,27,32,38,19,16,20,18,15,35,49,24,22,24,23,53,55,55,56,28,29,26,33,47,100,43,29,26,57,39,36,42,23,16,16,15,16,29,22,16,20,14,13,13,25,32,20,15,10,12,14,22,30,13,18,10,15,18,22,19,16,9,12,9,9,12,15,13,9,12,13,13,20,18,11,13,11,18,13,16,17,17,12,12,10,10,25,23,12,13,11,14,11,12,19,7,10,18,17,13,20,16,8,8,9,13,11,20,19,9,9,10,13,10,15,31,19,15,12,10,12,16,21,16,13,12,10,9,13,20,13,4,8,10,11,10,8,9,9,12,6,7,15,13,5,11,9,8,8,18,12,7,5,6,8,9,14,14,7,8,6,43,93,25,9,5,5,0,0,0,1
330,The Wolverine,Action,Drama,5,Wolverine Imortal,Fox,49099000,3951954,805,2013-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,37,16,0,11,11,0,11,15,0,0,11,11,0,12,22,0,20,31,16,0,23,0,0,11,11,0,11,12,15,54,15,31,12,0,22,0,0,0,0,11,0,22,0,22,0,20,21,21,22,0,29,16,21,10,11,11,40,0,15,10,20,15,26,13,34,20,25,20,21,32,40,14,26,55,97,100,64,58,76,31,44,35,20,52,20,41,25,15,30,10,26,77,48,10,40,10,36,27,27,56,51,25,49,25,42,53,62,20,20,61,20,36,59,82,35,50,36,47,16,49,29,25,59,49,25,46,39,41,54,78,34,34,35,51,47,33,33,45,67,33,39,80,29,34,25,54,37,86,75,29,52,58,52,38,27,24,13,14,4,5,2,2
331,The Fast and the Furious 6,Action,Thriller,6,Velozes e furiosos 6,Universal,48965800,4529358,854,2013-05-24,30,17,14,12,13,12,24,28,11,10,10,12,15,20,27,14,15,10,12,14,20,31,12,13,11,11,10,22,20,12,10,7,10,14,14,18,12,9,9,8,9,12,17,9,9,9,8,7,12,12,8,7,6,7,6,15,14,9,7,8,6,7,13,12,8,6,6,5,7,11,15,7,8,6,8,10,13,14,6,6,7,4,7,12,12,6,6,7,6,5,11,100,81,45,35,38,31,43,50,22,15,18,23,15,22,25,15,15,15,23,17,18,23,17,17,19,12,12,13,15,11,18,14,11,8,11,11,8,6,7,8,5,10,14,7,5,4,5,5,7,9,5,5,4,4,5,5,10,5,5,5,5,4,6,5,4,4,3,3,3,7,7,4,4,4,6,4,6,6,4,3,3,3,3,8,7,4,4,4,5,5,100,61,11,4,3,0,0,0,1,1
332,De pernas pro ar 2,Comedy,Romance,8,De pernas pro ar 2,Downtown/Paris,43929900,4230799,718,2012-12-28,29,15,81,21,26,64,27,68,91,80,27,48,32,38,34,85,79,27,21,21,59,45,100,74,32,27,86,22,23,50,30,22,32,22,60,46,87,77,42,32,21,37,28,35,58,38,16,45,48,30,58,30,16,21,16,16,34,73,54,44,27,21,11,29,28,58,16,43,22,22,34,74,76,34,11,11,34,43,39,79,28,29,57,23,42,86,96,73,34,52,35,56,39,48,68,33,42,87,51,56,51,27,42,23,63,24,52,65,46,35,24,30,14,32,74,23,19,38,46,24,39,34,23,23,23,23,54,23,58,23,23,17,33,18,54,79,22,28,17,0,18,23,16,11,17,17,17,0,78,33,11,11,11,22,31,23,31,0,33,22,28,0,61,40,11,11,17,33,12,46,47,11,11,0,11,24,23,32,11,11,11,5,33,51,31,18,16,6,12,6,3
333,De pernas pro ar 2,Comedy,Romance,56,DE PERNAS PRO AR 2,Downtown/Paris/RioFilme,6360050,563543,710,2012-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,34,0,36,0,47,0,0,36,0,0,0,0,0,0,35,0,0,0,0,50,0,0,0,0,0,0,99,0,0,36,37,0,0,53,0,0,0,0,0,48,0,0,0,0,0,0,0,49,0,0,0,0,0,0,53,0,0,0,0,38,0,0,0,0,0,37,0,0,55,0,38,0,40,0,0,0,40,0,0,42,0,0,0,0,37,37,37,0,0,0,0,0,0,0,37,0,0,0,0,0,34,0,0,0,34,34,0,34,0,0,51,0,0,0,0,37,0,0,0,0,0,0,0,0,48,0,34,36,0,0,0,0,0,52,0,67,34,0,0,0,34,0,35,0,0,0,0,0,0,100,0,0,0,34,0,0,0,0,140,0,0,26,6,6,1,0,0,2
334,De pernas pro ar 2,Comedy,Romance,8,De pernas pro ar 2,Downtown/Paris,43929900,4230799,718,2012-12-28,29,15,81,21,26,64,27,68,91,80,27,48,32,38,34,85,79,27,21,21,59,45,100,74,32,27,86,22,23,50,30,22,32,22,60,46,87,77,42,32,21,37,28,35,58,38,16,45,48,30,58,30,16,21,16,16,34,73,54,44,27,21,11,29,28,58,16,43,22,22,34,74,76,34,11,11,34,43,39,79,28,29,57,23,42,86,96,73,34,52,35,56,39,48,68,33,42,87,51,56,51,27,42,23,63,24,52,65,46,35,24,30,14,32,74,23,19,38,46,24,39,34,23,23,23,23,54,23,58,23,23,17,33,18,54,79,22,28,17,0,18,23,16,11,17,17,17,0,78,33,11,11,11,22,31,23,31,0,33,22,28,0,61,40,11,11,17,33,12,46,47,11,11,0,11,24,23,32,11,11,11,5,33,51,31,18,16,6,12,6,3
335,De pernas pro ar 2,Comedy,Romance,56,DE PERNAS PRO AR 2,Downtown/Paris/RioFilme,6360050,563543,710,2012-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,34,0,36,0,47,0,0,36,0,0,0,0,0,0,35,0,0,0,0,50,0,0,0,0,0,0,99,0,0,36,37,0,0,53,0,0,0,0,0,48,0,0,0,0,0,0,0,49,0,0,0,0,0,0,53,0,0,0,0,38,0,0,0,0,0,37,0,0,55,0,38,0,40,0,0,0,40,0,0,42,0,0,0,0,37,37,37,0,0,0,0,0,0,0,37,0,0,0,0,0,34,0,0,0,34,34,0,34,0,0,51,0,0,0,0,37,0,0,0,0,0,0,0,0,48,0,34,36,0,0,0,0,0,52,0,67,34,0,0,0,34,0,35,0,0,0,0,0,0,100,0,0,0,34,0,0,0,0,140,0,0,26,6,6,1,0,0,2
336,Wreck-It Ralph,Family,Animation,9,Detona Ralph,Disney,40342600,3499461,743,2013-04-01,68,48,27,40,29,33,35,88,63,48,34,45,24,38,37,52,37,38,38,63,57,57,69,54,43,33,29,45,64,39,37,35,42,41,71,51,70,62,57,47,43,61,48,49,34,43,25,23,26,50,28,31,42,27,36,33,41,56,40,24,55,56,59,60,58,35,21,35,23,36,85,100,38,26,25,25,25,86,76,34,32,19,25,34,39,59,19,35,24,25,36,62,32,30,20,17,49,47,48,57,23,18,21,26,26,28,48,24,26,26,19,25,50,31,34,15,28,28,31,50,49,48,17,34,19,40,54,24,26,21,44,34,30,43,51,34,25,30,31,22,47,43,15,24,15,19,22,38,35,11,30,25,42,25,31,18,15,26,32,23,22,58,67,32,32,26,28,40,38,75,34,23,31,34,18,56,64,33,27,33,17,0,17,50,50,28,18,11,3,3,1
337,Monsters University,Animation,Family,11,Universidade Monstros,Disney,37138100,3311150,832,2013-06-21,21,0,0,59,0,0,0,0,24,0,0,0,0,20,0,0,0,27,0,0,20,20,21,28,29,20,60,0,21,22,30,31,0,21,21,0,22,0,0,0,0,43,0,24,0,0,0,0,0,0,24,30,34,98,78,22,63,44,28,89,40,0,0,20,0,27,58,0,19,20,40,21,54,0,19,29,19,29,21,26,27,19,18,38,0,20,26,41,19,59,0,20,21,28,33,28,28,54,49,40,39,27,20,39,49,20,20,25,53,19,19,28,19,30,49,26,38,19,18,19,19,37,0,37,36,36,19,0,47,25,0,18,18,19,20,0,25,0,55,0,0,26,53,55,0,54,37,18,67,36,38,18,36,36,47,29,94,50,0,18,37,19,19,74,39,28,55,27,46,48,24,100,27,18,45,54,28,36,99,0,0,47,35,43,22,12,13,2,2,1,4
338,Man of Steel,Action,Adventure,12,Homem de Aço,Warner,36132700,2747384,780,2013-12-07,46,47,35,10,0,22,59,31,62,25,30,15,32,14,45,10,25,15,21,22,21,58,31,10,16,21,22,14,23,15,10,15,20,11,14,42,10,15,10,40,11,13,28,29,19,20,10,11,20,29,10,10,10,16,51,15,15,10,10,15,15,21,34,56,30,29,10,10,10,20,41,30,14,0,20,32,13,21,10,19,0,19,20,0,19,18,28,10,30,26,20,20,9,19,33,19,0,19,32,9,9,14,9,10,26,26,14,18,10,10,0,13,13,0,28,9,33,15,25,0,9,18,0,12,22,39,27,19,29,19,14,19,18,25,28,18,18,14,25,19,26,19,37,14,29,10,27,35,9,47,94,63,100,66,69,39,39,30,16,11,43,47,44,73,22,37,22,49,47,52,81,61,24,30,52,95,28,68,41,68,19,37,58,40,16,12,6,7,1,1,3
339,Meu passado me condena,Comedy,Placeholder,14,Meu passado me condena,Downtown/Paris,34942300,3167246,373,2013-10-25,28,0,0,0,31,0,28,28,20,31,21,0,45,0,70,60,0,23,0,43,28,29,0,20,21,21,22,26,56,0,0,0,0,0,52,54,20,20,0,20,21,39,41,40,0,19,0,62,25,52,0,19,19,20,62,39,80,39,0,19,22,27,42,58,0,37,29,19,20,52,27,20,19,20,0,20,24,26,0,0,20,20,41,0,27,20,39,0,20,20,0,0,29,29,47,0,0,25,27,19,19,0,20,21,81,56,19,0,37,0,20,25,40,0,19,18,0,19,25,26,18,18,19,0,21,25,26,0,18,19,0,20,0,26,0,0,28,19,41,26,0,19,0,0,0,39,0,28,0,18,19,19,20,0,28,37,19,38,19,20,27,27,0,20,19,0,20,0,0,38,19,0,68,100,91,41,0,37,0,20,21,54,49,39,15,8,8,4,1,1,2
340,The Croods,Action,Adventure,16,Os Croods,Fox,33680500,2793478,739,2013-03-22,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,3,4,4,0,1,0,0,0,0,2,1,0,0,0,1,0,2,0,0,1,1,0,2,0,0,1,1,1,0,2,0,1,0,1,1,3,0,3,4,2,1,1,2,2,4,1,2,5,2,54,46,9,4,1,5,5,10,7,9,4,2,5,4,7,9,7,7,6,16,9,13,32,31,14,20,24,27,63,91,99,55,27,43,64,100,83,84,38,36,29,37,34,61,71,42,31,31,27,30,55,71,33,27,26,21,37,53,65,30,33,26,31,28,43,48,27,25,62,18,24,35,40,21,22,23,16,20,30,40,21,14,20,14,20,31,35,22,16,18,15,15,107,15,21,17,5,4,5,2,2,3
341,The Smurfs 2,Fantasy,Family,17,Os Smurfs 2,Sony,33622300,2945807,755,2013-02-08,37,24,0,0,0,0,35,0,0,25,0,0,0,35,0,25,0,0,0,0,33,35,0,24,24,49,0,0,34,0,0,0,0,0,50,34,0,0,0,26,0,70,0,24,0,0,24,0,0,0,0,0,0,0,0,32,0,0,0,24,37,26,32,0,0,24,0,0,0,0,0,0,46,0,47,31,0,33,23,23,23,22,0,0,0,23,22,0,0,0,0,0,0,23,0,25,31,32,0,0,23,0,23,0,62,31,0,0,24,30,26,0,0,0,35,0,34,0,44,59,23,0,23,0,0,61,33,22,22,23,23,0,32,0,23,23,23,23,0,32,0,0,59,24,25,27,35,37,0,44,77,39,0,68,76,36,0,100,23,0,31,0,22,22,0,22,34,59,33,44,22,0,45,22,60,0,22,32,22,0,24,88,0,46,28,8,4,4,2,0,1
